
Reading uwg file input.

Simulating new temperature and humidity values for 31 days from 12/1.

New climate file 'SGP_Singapore.486980_IWEC_UWG.epw' is generated at /home/gao/Documents/urbanWeatherGen/resources/epw_uwg.
         6968835 function calls (6968754 primitive calls) in 7.226 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    7.226    7.226 UWG/UWG.py:802(run)
        1    0.298    0.298    7.005    7.005 UWG/UWG.py:611(simulate)
     8928    0.508    0.000    3.414    0.000 UWG/RSMDef.py:148(VDM)
     8928    0.195    0.000    2.531    0.000 UWG/RSMDef.py:235(DiffusionCoefficient)
     8928    1.684    0.000    2.113    0.000 UWG/RSMDef.py:277(DissipationBougeault)
     8928    0.400    0.000    2.063    0.000 UWG/urbflux.py:4(urbflux)
    53568    0.180    0.000    1.140    0.000 UWG/element.py:90(SurfFlux)
    71424    0.741    0.000    1.122    0.000 UWG/element.py:187(Conduction)
    17856    0.337    0.000    0.574    0.000 UWG/building.py:124(BEMCalc)
  1243129    0.324    0.000    0.380    0.000 UWG/RSMDef.py:127(is_near_zero)
    71424    0.334    0.000    0.334    0.000 UWG/element.py:297(invert)
     8928    0.187    0.000    0.310    0.000 UWG/RSMDef.py:202(DiffusionEquation)
     8928    0.144    0.000    0.227    0.000 UWG/UBLDef.py:46(UBLModel)
     8928    0.176    0.000    0.190    0.000 UWG/UCMDef.py:141(UCModel)
     8928    0.141    0.000    0.189    0.000 UWG/RSMDef.py:335(LengthBougeault)
     8928    0.087    0.000    0.186    0.000 UWG/solarcalcs.py:35(solarcalcs)
     8928    0.122    0.000    0.122    0.000 UWG/RSMDef.py:351(invert)
        1    0.080    0.080    0.119    0.119 UWG/UWG.py:770(write_epw)
   437362    0.116    0.000    0.116    0.000 {method 'format' of 'str' objects}
    18600    0.049    0.000    0.108    0.000 UWG/psychrometrics.py:3(psychrometrics)
     8928    0.013    0.000    0.105    0.000 UWG/solarcalcs.py:22(__init__)
     8930    0.007    0.000    0.091    0.000 /usr/lib/python2.7/logging/__init__.py:1567(getLogger)
   648067    0.090    0.000    0.090    0.000 {max}
     8930    0.018    0.000    0.085    0.000 /usr/lib/python2.7/logging/__init__.py:1025(getLogger)
    62496    0.027    0.000    0.084    0.000 /usr/lib/python2.7/logging/__init__.py:1145(debug)
   101161    0.048    0.000    0.082    0.000 /usr/lib/python2.7/logging/__init__.py:1360(isEnabledFor)
     4464    0.059    0.000    0.077    0.000 UWG/solarcalcs.py:134(solarangles)
        1    0.000    0.000    0.077    0.077 UWG/UWG.py:440(init_input_obj)
    20832    0.021    0.000    0.071    0.000 /usr/lib/python2.7/copy.py:66(copy)
  1436140    0.069    0.000    0.069    0.000 {abs}
   380191    0.062    0.000    0.062    0.000 {math.pow}
    26784    0.058    0.000    0.058    0.000 UWG/infracalcs.py:1(infracalcs)
   395064    0.056    0.000    0.056    0.000 {math.log}
   107136    0.043    0.000    0.050    0.000 UWG/element.py:87(is_near_zero)
        3    0.044    0.015    0.048    0.016 {cPickle.load}
    18600    0.030    0.000    0.045    0.000 UWG/psychrometrics.py:50(saturation_pressure)
     5297    0.043    0.000    0.043    0.000 UWG/UBLDef.py:109(NightForc)
       13    0.042    0.003    0.043    0.003 {map}
        3    0.000    0.000    0.043    0.014 UWG/utilities.py:14(read_csv)
